IP,GUID,Fairshots
156.204.140.249,43b6e,"[(u'43b6e', u'ReMiXe', u'79.137.85.74:20100', u'1496788327', u'.ReMiXe+.%21%21'), (u'43b6e', u'ReMiXe', u'188.226.137.15:20103', u'1492764955', u'.ReMiXe+.%21%21')]"
84.106.178.74,fbd6f,"[(u'fbd6f', u'cLgV1BE', u'51.254.35.64:20111', u'1489255515', u'.cLg+%23+V1BE%60'), (u'fbd6f', u'cLgV1BE', u'79.137.85.74:20105', u'1489251594', u'.cLg+%23+V1BE%60'), (u'fbd6f', u'fGRV1BE', u'51.254.35.64:20111', u'1489069525', u'%5BfGR%5D+V1BE%27'), (u'fbd6f', u'xnxxv1be', u'51.254.35.64:20111', u'1489068953', u'xnxx.v1be'), (u'fbd6f', u'xnxxv1be', u'51.254.35.64:20111', u'1489068754', u'xnxx.v1be'), (u'fbd6f', u'xnxxv1be', u'51.254.35.64:20111', u'1489068260', u'xnxx.v1be')]"
83.130.84.30,,
156.204.201.147,,
156.205.3.24,,
197.133.104.219,,
156.205.29.44,,
77.139.12.71,,
156.204.40.12,,
189.203.149.113,c7df5,[]
77.167.227.118,ee940,[]
156.204.85.221,,
156.204.78.124,,
41.68.71.202,,
84.87.148.10,4dff2,"[(u'4dff2', u'oMBeast', u'51.255.200.51:20104', u'1499815125', u'---oM%60Beast---'), (u'4dff2', u'HsSS', u'78.47.64.168:20102', u'1496947431', u'-%7CHsS%7C-+%23%7CS%7C%23'), (u'4dff2', u'HsSS', u'78.47.64.168:20102', u'1496947217', u'-%7CHsS%7C-+%23%7CS%7C%23'), (u'4dff2', u'HsSS', u'51.254.35.64:20111', u'1495920973', u'-%7CHsS%7C-+%23%7CS%7C%23'), (u'4dff2', u'HsSSaints', u'91.198.152.92:20100', u'1492202288', u'-%7CHsS%7C-+Saints%2B'), (u'4dff2', u'HsSSaints', u'79.137.85.74:20101', u'1490908223', u'-%7CHsS%7C-+Saints%2B')]"
84.44.139.1,94034,"[(u'94034', u'SoDtml', u'51.254.35.64:20111', u'1497547116', u'%7E%2ASoD%23tml%2A'), (u'94034', u'SoDtml', u'213.163.78.139:20100', u'1496169164', u'%7E%2ASoD%23tml%2A'), (u'94034', u'SoDtml', u'51.254.35.64:20111', u'1495466609', u'%7E%2ASoD%23tml%2A'), (u'94034', u'cLgtml', u'51.254.35.64:20111', u'1495123414', u'.cLg+%23+tml'), (u'94034', u'cLgtml', u'52.57.90.19:20100', u'1495121968', u'.cLg+%23+tml'), (u'94034', u'cLgtml', u'52.57.90.19:20100', u'1495121167', u'.cLg+%23+tml')]"
2.152.100.90,,
37.248.60.250,ef77f,"[(u'ef77f', u'CreatoR', u'51.254.35.64:20102', u'1493483507', u'%7E%26gt%3BCreatoR%27'), (u'ef77f', u'CreatoR', u'37.59.160.132:20102', u'1493474401', u'%7E%26gt%3BCreatoR%27'), (u'ef77f', u'GiteK', u'31.204.136.28:20100', u'1492860675', u'%7E%2AGiteK%2A%7E'), (u'ef77f', u'gitek', u'188.226.137.15:20103', u'1490440129', u'gitek'), (u'ef77f', u'GITEK', u'51.254.35.64:20111', u'1489615301', u'GITEK'), (u'ef77f', u'GITEk', u'31.186.250.93:20150', u'1481631680', u'GITEk.')]"
156.204.172.106,,
197.48.218.179,80a73,"[(u'80a73', u'GAGenius', u'78.47.64.168:20101', u'1497117265', u'-G%7CA-%2AGenius%21'), (u'80a73', u'GAGenius', u'78.47.64.168:20101', u'1496589860', u'-G%7CA-%2AGenius%21')]"
41.237.21.86,,
156.205.221.254,,
197.166.136.134,,
41.237.7.169,,
90.103.20.124,,
156.204.187.209,,
88.159.112.94,64866,[]
156.205.114.159,,
197.161.127.118,,
87.88.111.87,,
